County,Vote type,Total ballots,Contest,Ballots cast,Undervotes
Clayton,Advance in Person,25878,Attorney General,25819,59
Clayton,Election Day,34794,Attorney General,34690,104
Clayton,Provisional,66,Attorney General,65,1
Clinch,Absentee by Mail,53,Attorney General,52,1
Clinch,Advance in Person,340,Attorney General,337,3
Clinch,Election Day,777,Attorney General,765,12
Clinch,Provisional,2,Attorney General,2,0
Cobb,Absentee by Mail,10616,Attorney General,10423,193
Cobb,Advance in Person,58755,Attorney General,58231,524
Cobb,Election Day,143123,Attorney General,140908,2215
Cobb,Provisional,581,Attorney General,565,16
Coffee,Absentee by Mail,328,Attorney General,324,4
Coffee,Advance in Person,3477,Attorney General,3438,39
Coffee,Election Day,4390,Attorney General,4310,80
Coffee,Provisional,7,Attorney General,7,0
Colquitt,Absentee by Mail,172,Attorney General,169,3
Colquitt,Advance in Person,2409,Attorney General,2384,25
Colquitt,Election Day,5359,Attorney General,5322,37
Colquitt,Provisional,4,Attorney General,4,0
Columbia,Absentee by Mail,1698,Attorney General,1655,43
Columbia,Advance in Person,11710,Attorney General,11690,20
Columbia,Election Day,26403,Attorney General,26345,58
Columbia,Provisional,10,Attorney General,9,1
Cook,Absentee by Mail,113,Attorney General,113,0
Cook,Advance in Person,1115,Attorney General,1107,8
Cook,Election Day,2316,Attorney General,2295,21
Cook,Provisional,0,Attorney General,0,0
Coweta,Absentee by Mail,1733,Attorney General,1706,27
Coweta,Advance in Person,9167,Attorney General,9137,30
Coweta,Election Day,26256,Attorney General,26103,153
Coweta,Provisional,15,Attorney General,15,0
Crawford,Absentee by Mail,146,Attorney General,145,1
Crawford,Advance in Person,1092,Attorney General,1071,21
Crawford,Election Day,2012,Attorney General,1995,17
Crawford,Provisional,4,Attorney General,4,0
Crisp,Absentee by Mail,169,Attorney General,166,3
Crisp,Advance in Person,2060,Attorney General,2017,43
Crisp,Election Day,2752,Attorney General,2713,39
Crisp,Provisional,2,Attorney General,2,0
Dade,Absentee by Mail,114,Attorney General,107,7
Dade,Advance in Person,1030,Attorney General,985,45
Dade,Election Day,2283,Attorney General,2199,84
Dade,Provisional,9,Attorney General,9,0
Dawson,Absentee by Mail,311,Attorney General,306,5
Dawson,Advance in Person,3231,Attorney General,3189,42
Dawson,Election Day,3731,Attorney General,3648,83
Dawson,Provisional,11,Attorney General,10,1
DeKalb,Absentee by Mail,8280,Attorney General,7965,315
DeKalb,Advance in Person,72480,Attorney General,71766,714
DeKalb,Election Day,129376,Attorney General,126924,2452
DeKalb,Provisional,503,Attorney General,485,18
Decatur,Absentee by Mail,269,Attorney General,265,4
Decatur,Advance in Person,1985,Attorney General,1970,15
Decatur,Election Day,3820,Attorney General,3786,34
Decatur,Provisional,5,Attorney General,5,0
Dodge,Absentee by Mail,219,Attorney General,216,3
Dodge,Advance in Person,1690,Attorney General,1633,57
Dodge,Election Day,3173,Attorney General,3093,80
Dodge,Provisional,0,Attorney General,0,0
Dooly,Absentee by Mail,68,Attorney General,68,0
Dooly,Advance in Person,834,Attorney General,801,33
Dooly,Election Day,1783,Attorney General,1746,37
Dooly,Provisional,0,Attorney General,0,0
Dougherty,Absentee by Mail,1050,Attorney General,1032,18
Dougherty,Advance in Person,6272,Attorney General,6205,67
Dougherty,Election Day,16148,Attorney General,16095,53
Dougherty,Provisional,41,Attorney General,39,2
Douglas,Absentee by Mail,1308,Attorney General,1291,17
Douglas,Advance in Person,15797,Attorney General,15769,28
Douglas,Election Day,20398,Attorney General,20383,15
Douglas,Provisional,27,Attorney General,27,0
Early,Absentee by Mail,140,Attorney General,140,0
Early,Advance in Person,890,Attorney General,880,10
Early,Election Day,2163,Attorney General,2141,22
Early,Provisional,3,Attorney General,3,0
Echols,Absentee by Mail,19,Attorney General,19,0
Echols,Advance in Person,243,Attorney General,232,11
Echols,Election Day,361,Attorney General,355,6
Echols,Provisional,0,Attorney General,0,0
Effingham,Absentee by Mail,373,Attorney General,365,8
Effingham,Advance in Person,3036,Attorney General,3022,14
Effingham,Election Day,9204,Attorney General,9184,20
Effingham,Provisional,10,Attorney General,10,0
Elbert,Absentee by Mail,219,Attorney General,215,4
Elbert,Advance in Person,1841,Attorney General,1824,17
Elbert,Election Day,2632,Attorney General,2615,17
Elbert,Provisional,11,Attorney General,11,0
Emanuel,Absentee by Mail,213,Attorney General,205,8
Emanuel,Advance in Person,1187,Attorney General,1162,25
Emanuel,Election Day,3581,Attorney General,3527,54
Emanuel,Provisional,1,Attorney General,1,0
Evans,Absentee by Mail,122,Attorney General,120,2
Evans,Advance in Person,921,Attorney General,906,15
Evans,Election Day,1107,Attorney General,1090,17
Evans,Provisional,0,Attorney General,0,0
Fannin,Absentee by Mail,417,Attorney General,406,11
Fannin,Advance in Person,2268,Attorney General,2240,28
Fannin,Election Day,4216,Attorney General,4143,73
Fannin,Provisional,3,Attorney General,2,1
Fayette,Absentee by Mail,1272,Attorney General,1252,20
Fayette,Advance in Person,18189,Attorney General,18025,164
Fayette,Election Day,22606,Attorney General,22351,255
Fayette,Provisional,13,Attorney General,12,1
Floyd,Absentee by Mail,771,Attorney General,763,8
Floyd,Advance in Person,5763,Attorney General,5741,22
Floyd,Election Day,14210,Attorney General,14040,170
Floyd,Provisional,78,Attorney General,75,3
Forsyth,Absentee by Mail,1655,Attorney General,1611,44
Forsyth,Advance in Person,22647,Attorney General,22437,210
Forsyth,Election Day,32220,Attorney General,31830,390
Forsyth,Provisional,48,Attorney General,45,3
Franklin,Absentee by Mail,198,Attorney General,192,6
Franklin,Advance in Person,1077,Attorney General,1069,8
Franklin,Election Day,3454,Attorney General,3432,22
Franklin,Provisional,1,Attorney General,1,0
Fulton,Absentee by Mail,8864,Attorney General,8662,202
Fulton,Advance in Person,87201,Attorney General,86256,945
Fulton,Election Day,167468,Attorney General,164473,2995
Fulton,Provisional,2135,Attorney General,2066,69
Gilmer,Absentee by Mail,378,Attorney General,373,5
Gilmer,Advance in Person,2578,Attorney General,2530,48
Gilmer,Election Day,4854,Attorney General,4725,129
Gilmer,Provisional,16,Attorney General,16,0
Glascock,Absentee by Mail,36,Attorney General,33,3
Glascock,Advance in Person,211,Attorney General,209,2
Glascock,Election Day,542,Attorney General,540,2
Glascock,Provisional,0,Attorney General,0,0
Glynn,Absentee by Mail,883,Attorney General,871,12
Glynn,Advance in Person,7098,Attorney General,7081,17
Glynn,Election Day,12102,Attorney General,12068,34
Glynn,Provisional,36,Attorney General,34,2
Gordon,Absentee by Mail,370,Attorney General,357,13
Gordon,Advance in Person,2666,Attorney General,2608,58
Gordon,Election Day,7273,Attorney General,7126,147
Gordon,Provisional,16,Attorney General,14,2
Grady,Absentee by Mail,157,Attorney General,156,1
Grady,Advance in Person,1854,Attorney General,1831,23
Grady,Election Day,3548,Attorney General,3522,26
Grady,Provisional,6,Attorney General,6,0
Greene,Absentee by Mail,538,Attorney General,528,10
Greene,Advance in Person,3068,Attorney General,3044,24
Greene,Election Day,2907,Attorney General,2861,46
Greene,Provisional,10,Attorney General,10,0
Gwinnett,Absentee by Mail,8170,Attorney General,8007,163
Gwinnett,Advance in Person,47244,Attorney General,47002,242
Gwinnett,Election Day,141636,Attorney General,140090,1546
Gwinnett,Provisional,1155,Attorney General,1135,20
Habersham,Absentee by Mail,704,Attorney General,692,12
Habersham,Advance in Person,5381,Attorney General,5264,117
Habersham,Election Day,3529,Attorney General,3479,50
Habersham,Provisional,34,Attorney General,31,3
Hall,Absentee by Mail,2074,Attorney General,2041,33
Hall,Advance in Person,12299,Attorney General,12132,167
Hall,Election Day,29428,Attorney General,29000,428
Hall,Provisional,42,Attorney General,42,0
Hancock,Absentee by Mail,283,Attorney General,281,2
Hancock,Advance in Person,839,Attorney General,810,29
Hancock,Election Day,1257,Attorney General,1235,22
Hancock,Provisional,19,Attorney General,18,1
Haralson,Absentee by Mail,262,Attorney General,259,3
Haralson,Advance in Person,1563,Attorney General,1542,21
Haralson,Election Day,4986,Attorney General,4943,43
Haralson,Provisional,2,Attorney General,2,0
Harris,Absentee by Mail,493,Attorney General,488,5
Harris,Advance in Person,2950,Attorney General,2942,8
Harris,Election Day,6803,Attorney General,6789,14
Harris,Provisional,2,Attorney General,2,0
Hart,Absentee by Mail,287,Attorney General,279,8
Hart,Advance in Person,2309,Attorney General,2250,59
Hart,Election Day,4185,Attorney General,4145,40
Hart,Provisional,1,Attorney General,1,0
Heard,Absentee by Mail,157,Attorney General,154,3
Heard,Advance in Person,552,Attorney General,535,17
Heard,Election Day,1772,Attorney General,1753,19
Heard,Provisional,0,Attorney General,0,0
Henry,Absentee by Mail,2016,Attorney General,1997,19
Henry,Advance in Person,29231,Attorney General,29200,31
Henry,Election Day,31732,Attorney General,31650,82
Henry,Provisional,102,Attorney General,101,1
Houston,Absentee by Mail,1431,Attorney General,1408,23
Houston,Advance in Person,16400,Attorney General,16321,79
Houston,Election Day,19454,Attorney General,19331,123
Houston,Provisional,62,Attorney General,56,6
Irwin,Absentee by Mail,61,Attorney General,60,1
Irwin,Advance in Person,719,Attorney General,690,29
Irwin,Election Day,1581,Attorney General,1550,31
Irwin,Provisional,3,Attorney General,3,0
Jackson,Absentee by Mail,495,Attorney General,491,4
Jackson,Advance in Person,5419,Attorney General,5396,23
Jackson,Election Day,10060,Attorney General,9975,85
Jackson,Provisional,16,Attorney General,15,1
Jasper,Absentee by Mail,255,Attorney General,254,1
Jasper,Advance in Person,1280,Attorney General,1273,7
Jasper,Election Day,2305,Attorney General,2300,5
Jasper,Provisional,2,Attorney General,2,0
Jeff Davis,Absentee by Mail,153,Attorney General,145,8
Jeff Davis,Advance in Person,861,Attorney General,830,31
Jeff Davis,Election Day,1973,Attorney General,1941,32
Jeff Davis,Provisional,1,Attorney General,1,0
Jefferson,Absentee by Mail,216,Attorney General,215,1
Jefferson,Advance in Person,1158,Attorney General,1158,0
Jefferson,Election Day,3144,Attorney General,3114,30
Jefferson,Provisional,20,Attorney General,20,0
Jenkins,Absentee by Mail,163,Attorney General,162,1
Jenkins,Advance in Person,671,Attorney General,663,8
Jenkins,Election Day,1088,Attorney General,1079,9
Jenkins,Provisional,0,Attorney General,0,0
Johnson,Absentee by Mail,92,Attorney General,92,0
Johnson,Advance in Person,789,Attorney General,781,8
Johnson,Election Day,1415,Attorney General,1415,0
Johnson,Provisional,0,Attorney General,0,0
Jones,Absentee by Mail,511,Attorney General,502,9
Jones,Advance in Person,2913,Attorney General,2893,20
Jones,Election Day,4638,Attorney General,4621,17
Jones,Provisional,7,Attorney General,7,0
Lamar,Absentee by Mail,215,Attorney General,210,5
Lamar,Advance in Person,1700,Attorney General,1674,26
Lamar,Election Day,3046,Attorney General,3040,6
Lamar,Provisional,5,Attorney General,5,0
Lanier,Absentee by Mail,40,Attorney General,40,0
Lanier,Advance in Person,521,Attorney General,518,3
Lanier,Election Day,878,Attorney General,873,5
Lanier,Provisional,4,Attorney General,4,0
Laurens,Absentee by Mail,763,Attorney General,751,12
Laurens,Advance in Person,3953,Attorney General,3919,34
Laurens,Election Day,8153,Attorney General,8065,88
Laurens,Provisional,14,Attorney General,13,1
Lee,Absentee by Mail,241,Attorney General,237,4
Lee,Advance in Person,2107,Attorney General,2098,9
Lee,Election Day,6514,Attorney General,6488,26
Lee,Provisional,5,Attorney General,5,0
Liberty,Absentee by Mail,209,Attorney General,206,3
Liberty,Advance in Person,3652,Attorney General,3617,35
Liberty,Election Day,5097,Attorney General,5075,22
Liberty,Provisional,4,Attorney General,4,0
Lincoln,Absentee by Mail,222,Attorney General,219,3
Lincoln,Advance in Person,899,Attorney General,885,14
Lincoln,Election Day,1554,Attorney General,1542,12
Lincoln,Provisional,13,Attorney General,13,0
Long,Absentee by Mail,40,Attorney General,40,0
Long,Advance in Person,691,Attorney General,688,3
Long,Election Day,1397,Attorney General,1382,15
Long,Provisional,6,Attorney General,6,0
Lowndes,Absentee by Mail,532,Attorney General,524,8
Lowndes,Advance in Person,8813,Attorney General,8812,1
Lowndes,Election Day,11478,Attorney General,11439,39
Lowndes,Provisional,560,Attorney General,557,3
Lumpkin,Absentee by Mail,305,Attorney General,298,7
Lumpkin,Advance in Person,2933,Attorney General,2900,33
Lumpkin,Election Day,4404,Attorney General,4344,60
Lumpkin,Provisional,15,Attorney General,15,0
Macon,Absentee by Mail,106,Attorney General,106,0
Macon,Advance in Person,1207,Attorney General,1146,61
Macon,Election Day,1695,Attorney General,1644,51
Macon,Provisional,0,Attorney General,0,0
Madison,Absentee by Mail,312,Attorney General,301,11
Madison,Advance in Person,2257,Attorney General,2238,19
Madison,Election Day,4970,Attorney General,4887,83
Madison,Provisional,6,Attorney General,6,0
Marion,Absentee by Mail,219,Attorney General,213,6
Marion,Advance in Person,612,Attorney General,600,12
Marion,Election Day,1314,Attorney General,1293,21
Marion,Provisional,0,Attorney General,0,0
McDuffie,Absentee by Mail,351,Attorney General,347,4
McDuffie,Advance in Person,2043,Attorney General,2029,14
McDuffie,Election Day,3653,Attorney General,3624,29
McDuffie,Provisional,3,Attorney General,3,0
McIntosh,Absentee by Mail,300,Attorney General,291,9
McIntosh,Advance in Person,1300,Attorney General,1290,10
McIntosh,Election Day,2233,Attorney General,2223,10
McIntosh,Provisional,7,Attorney General,6,1
Meriwether,Absentee by Mail,207,Attorney General,203,4
Meriwether,Advance in Person,1188,Attorney General,1170,18
Meriwether,Election Day,4671,Attorney General,4590,81
Meriwether,Provisional,1,Attorney General,1,0
Miller,Absentee by Mail,53,Attorney General,52,1
Miller,Advance in Person,436,Attorney General,423,13
Miller,Election Day,937,Attorney General,927,10
Miller,Provisional,1,Attorney General,1,0
Mitchell,Absentee by Mail,202,Attorney General,199,3
Mitchell,Advance in Person,1589,Attorney General,1568,21
Mitchell,Election Day,3215,Attorney General,3190,25
Mitchell,Provisional,3,Attorney General,3,0
Monroe,Absentee by Mail,358,Attorney General,353,5
Monroe,Advance in Person,2523,Attorney General,2485,38
Monroe,Election Day,5671,Attorney General,5632,39
Monroe,Provisional,23,Attorney General,21,2
Montgomery,Absentee by Mail,92,Attorney General,90,2
Montgomery,Advance in Person,463,Attorney General,447,16
Montgomery,Election Day,1730,Attorney General,1697,33
Montgomery,Provisional,0,Attorney General,0,0
Morgan,Absentee by Mail,193,Attorney General,190,3
Morgan,Advance in Person,2475,Attorney General,2453,22
Morgan,Election Day,3635,Attorney General,3602,33
Morgan,Provisional,7,Attorney General,7,0
Murray,Absentee by Mail,207,Attorney General,193,14
Murray,Advance in Person,1347,Attorney General,1304,43
Murray,Election Day,4497,Attorney General,4375,122
Murray,Provisional,0,Attorney General,0,0
Muscogee,Absentee by Mail,2150,Attorney General,2129,21
Muscogee,Advance in Person,13494,Attorney General,13400,94
Muscogee,Election Day,25301,Attorney General,25255,46
Muscogee,Provisional,63,Attorney General,63,0
Newton,Absentee by Mail,1136,Attorney General,1117,19
Newton,Advance in Person,10430,Attorney General,10380,50
Newton,Election Day,16634,Attorney General,16594,40
Newton,Provisional,2,Attorney General,2,0
Oconee,Absentee by Mail,368,Attorney General,356,12
Oconee,Advance in Person,5438,Attorney General,5368,70
Oconee,Election Day,7726,Attorney General,7510,216
Oconee,Provisional,7,Attorney General,7,0
Oglethorpe,Absentee by Mail,217,Attorney General,215,2
Oglethorpe,Advance in Person,1609,Attorney General,1597,12
Oglethorpe,Election Day,2262,Attorney General,2240,22
Oglethorpe,Provisional,4,Attorney General,4,0
Paulding,Absentee by Mail,1789,Attorney General,1766,23
Paulding,Advance in Person,14824,Attorney General,14806,18
Paulding,Election Day,19620,Attorney General,19577,43
Paulding,Provisional,29,Attorney General,27,2
Peach,Absentee by Mail,215,Attorney General,214,1
Peach,Advance in Person,3402,Attorney General,3374,28
Peach,Election Day,3620,Attorney General,3620,0
Peach,Provisional,8,Attorney General,8,0
Pickens,Absentee by Mail,138,Attorney General,136,2
Pickens,Advance in Person,3653,Attorney General,3607,46
Pickens,Election Day,5031,Attorney General,4992,39
Pickens,Provisional,1,Attorney General,1,0
Pierce,Absentee by Mail,228,Attorney General,224,4
Pierce,Advance in Person,1629,Attorney General,1601,28
Pierce,Election Day,2106,Attorney General,2093,13
Pierce,Provisional,0,Attorney General,0,0
Pike,Absentee by Mail,246,Attorney General,237,9
Pike,Advance in Person,1650,Attorney General,1647,3
Pike,Election Day,3700,Attorney General,3680,20
Pike,Provisional,8,Attorney General,8,0
Polk,Absentee by Mail,235,Attorney General,231,4
Polk,Advance in Person,3214,Attorney General,3185,29
Polk,Election Day,4537,Attorney General,4482,55
Polk,Provisional,4,Attorney General,4,0
Pulaski,Absentee by Mail,86,Attorney General,84,2
Pulaski,Advance in Person,1249,Attorney General,1227,22
Pulaski,Election Day,1013,Attorney General,983,30
Pulaski,Provisional,2,Attorney General,2,0
Putnam,Absentee by Mail,387,Attorney General,383,4
Putnam,Advance in Person,2434,Attorney General,2414,20
Putnam,Election Day,3451,Attorney General,3431,20
Putnam,Provisional,2,Attorney General,2,0
Quitman,Absentee by Mail,41,Attorney General,41,0
Quitman,Advance in Person,209,Attorney General,207,2
Quitman,Election Day,347,Attorney General,338,9
Quitman,Provisional,1,Attorney General,1,0
Rabun,Absentee by Mail,427,Attorney General,412,15
Rabun,Advance in Person,3295,Attorney General,3190,105
Rabun,Election Day,1731,Attorney General,1670,61
Rabun,Provisional,0,Attorney General,0,0
Randolph,Absentee by Mail,149,Attorney General,143,6
Randolph,Advance in Person,789,Attorney General,772,17
Randolph,Election Day,1173,Attorney General,1154,19
Randolph,Provisional,7,Attorney General,7,0
Richmond,Absentee by Mail,3207,Attorney General,3171,36
Richmond,Advance in Person,13314,Attorney General,13214,100
Richmond,Election Day,31248,Attorney General,31061,187
Richmond,Provisional,71,Attorney General,71,0
Rockdale,Absentee by Mail,825,Attorney General,806,19
Rockdale,Advance in Person,13442,Attorney General,13381,61
Rockdale,Election Day,12256,Attorney General,12227,29
Rockdale,Provisional,48,Attorney General,48,0
Schley,Absentee by Mail,66,Attorney General,64,2
Schley,Advance in Person,602,Attorney General,592,10
Schley,Election Day,595,Attorney General,586,9
Schley,Provisional,3,Attorney General,3,0
Screven,Absentee by Mail,158,Attorney General,152,6
Screven,Advance in Person,1201,Attorney General,1182,19
Screven,Election Day,2412,Attorney General,2391,21
Screven,Provisional,4,Attorney General,4,0
Seminole,Absentee by Mail,76,Attorney General,76,0
Seminole,Advance in Person,477,Attorney General,467,10
Seminole,Election Day,1698,Attorney General,1670,28
Seminole,Provisional,5,Attorney General,5,0
Spalding,Absentee by Mail,528,Attorney General,513,15
Spalding,Advance in Person,6771,Attorney General,6686,85
Spalding,Election Day,9378,Attorney General,9274,104
Spalding,Provisional,14,Attorney General,14,0
Stephens,Absentee by Mail,337,Attorney General,331,6
Stephens,Advance in Person,2604,Attorney General,2575,29
Stephens,Election Day,2225,Attorney General,2206,19
Stephens,Provisional,2,Attorney General,2,0
Stewart,Absentee by Mail,75,Attorney General,73,2
Stewart,Advance in Person,311,Attorney General,287,24
Stewart,Election Day,808,Attorney General,783,25
Stewart,Provisional,18,Attorney General,18,0
Sumter,Absentee by Mail,522,Attorney General,519,3
Sumter,Advance in Person,3280,Attorney General,3246,34
Sumter,Election Day,4191,Attorney General,4135,56
Sumter,Provisional,5,Attorney General,5,0
Talbot,Absentee by Mail,215,Attorney General,203,12
Talbot,Advance in Person,342,Attorney General,335,7
Talbot,Election Day,1588,Attorney General,1552,36
Talbot,Provisional,2,Attorney General,1,1
Taliaferro,Absentee by Mail,50,Attorney General,48,2
Taliaferro,Advance in Person,197,Attorney General,192,5
Taliaferro,Election Day,311,Attorney General,309,2
Taliaferro,Provisional,0,Attorney General,0,0
Tattnall,Absentee by Mail,198,Attorney General,193,5
Tattnall,Advance in Person,1310,Attorney General,1285,25
Tattnall,Election Day,2706,Attorney General,2660,46
Tattnall,Provisional,6,Attorney General,5,1
Taylor,Absentee by Mail,127,Attorney General,127,0
Taylor,Advance in Person,620,Attorney General,608,12
Taylor,Election Day,1441,Attorney General,1416,25
Taylor,Provisional,0,Attorney General,0,0
Telfair,Absentee by Mail,227,Attorney General,227,0
Telfair,Advance in Person,751,Attorney General,727,24
Telfair,Election Day,1723,Attorney General,1686,37
Telfair,Provisional,0,Attorney General,0,0
Terrell,Absentee by Mail,258,Attorney General,238,20
Terrell,Advance in Person,1101,Attorney General,1071,30
Terrell,Election Day,1887,Attorney General,1858,29
Terrell,Provisional,2,Attorney General,2,0
Thomas,Absentee by Mail,293,Attorney General,288,5
Thomas,Advance in Person,3653,Attorney General,3642,11
Thomas,Election Day,7055,Attorney General,7015,40
Thomas,Provisional,2,Attorney General,2,0
Tift,Absentee by Mail,254,Attorney General,250,4
Tift,Advance in Person,3128,Attorney General,3093,35
Tift,Election Day,5030,Attorney General,4954,76
Tift,Provisional,92,Attorney General,88,4
Toombs,Absentee by Mail,381,Attorney General,378,3
Toombs,Advance in Person,1805,Attorney General,1778,27
Toombs,Election Day,3352,Attorney General,3334,18
Toombs,Provisional,6,Attorney General,6,0
Towns,Absentee by Mail,190,Attorney General,184,6
Towns,Advance in Person,2289,Attorney General,2247,42
Towns,Election Day,1717,Attorney General,1694,23
Towns,Provisional,68,Attorney General,65,3
Treutlen,Absentee by Mail,50,Attorney General,49,1
Treutlen,Advance in Person,426,Attorney General,418,8
Treutlen,Election Day,1041,Attorney General,1028,13
Treutlen,Provisional,3,Attorney General,3,0
Troup,Absentee by Mail,847,Attorney General,832,15
Troup,Advance in Person,4821,Attorney General,4802,19
Troup,Election Day,9963,Attorney General,9907,56
Troup,Provisional,41,Attorney General,39,2
Turner,Absentee by Mail,41,Attorney General,39,2
Turner,Advance in Person,1026,Attorney General,1013,13
Turner,Election Day,1188,Attorney General,1170,18
Turner,Provisional,11,Attorney General,11,0
Twiggs,Absentee by Mail,275,Attorney General,271,4
Twiggs,Advance in Person,841,Attorney General,825,16
Twiggs,Election Day,1776,Attorney General,1755,21
Twiggs,Provisional,1,Attorney General,1,0
Union,Absentee by Mail,288,Attorney General,277,11
Union,Advance in Person,3487,Attorney General,3443,44
Union,Election Day,3966,Attorney General,3898,68
Union,Provisional,2,Attorney General,2,0
Upson,Absentee by Mail,230,Attorney General,223,7
Upson,Advance in Person,2400,Attorney General,2366,34
Upson,Election Day,4440,Attorney General,4414,26
Upson,Provisional,1,Attorney General,1,0
Walker,Absentee by Mail,617,Attorney General,601,16
Walker,Advance in Person,3646,Attorney General,3603,43
Walker,Election Day,8076,Attorney General,8003,73
Walker,Provisional,0,Attorney General,0,0
Walton,Absentee by Mail,1068,Attorney General,1043,25
Walton,Advance in Person,6096,Attorney General,6067,29
Walton,Election Day,18659,Attorney General,18494,165
Walton,Provisional,16,Attorney General,16,0
Ware,Absentee by Mail,326,Attorney General,321,5
Ware,Advance in Person,2081,Attorney General,2051,30
Ware,Election Day,4306,Attorney General,4249,57
Ware,Provisional,1,Attorney General,1,0
Warren,Absentee by Mail,60,Attorney General,59,1
Warren,Advance in Person,543,Attorney General,528,15
Warren,Election Day,889,Attorney General,872,17
Warren,Provisional,1,Attorney General,1,0
Washington,Absentee by Mail,355,Attorney General,351,4
Washington,Advance in Person,2324,Attorney General,2274,50
Washington,Election Day,3362,Attorney General,3273,89
Washington,Provisional,8,Attorney General,7,1
Wayne,Absentee by Mail,258,Attorney General,246,12
Wayne,Advance in Person,2152,Attorney General,2121,31
Wayne,Election Day,3740,Attorney General,3700,40
Wayne,Provisional,0,Attorney General,0,0
Webster,Absentee by Mail,80,Attorney General,74,6
Webster,Advance in Person,271,Attorney General,265,6
Webster,Election Day,426,Attorney General,409,17
Webster,Provisional,0,Attorney General,0,0
Wheeler,Absentee by Mail,87,Attorney General,84,3
Wheeler,Advance in Person,447,Attorney General,432,15
Wheeler,Election Day,959,Attorney General,945,14
Wheeler,Provisional,9,Attorney General,8,1
White,Absentee by Mail,447,Attorney General,432,15
White,Advance in Person,2267,Attorney General,2245,22
White,Election Day,4948,Attorney General,4881,67
White,Provisional,3,Attorney General,3,0
Whitfield,Absentee by Mail,478,Attorney General,468,10
Whitfield,Advance in Person,3511,Attorney General,3458,53
Whitfield,Election Day,11767,Attorney General,11551,216
Whitfield,Provisional,38,Attorney General,38,0
Wilcox,Absentee by Mail,144,Attorney General,142,2
Wilcox,Advance in Person,455,Attorney General,449,6
Wilcox,Election Day,1280,Attorney General,1267,13
Wilcox,Provisional,3,Attorney General,3,0
Wilkes,Absentee by Mail,104,Attorney General,103,1
Wilkes,Advance in Person,939,Attorney General,918,21
Wilkes,Election Day,2044,Attorney General,2030,14
Wilkes,Provisional,3,Attorney General,3,0
Wilkinson,Absentee by Mail,150,Attorney General,147,3
Wilkinson,Advance in Person,763,Attorney General,745,18
Wilkinson,Election Day,2227,Attorney General,2188,39
Wilkinson,Provisional,1,Attorney General,1,0
Worth,Absentee by Mail,138,Attorney General,137,1
Worth,Advance in Person,1170,Attorney General,1170,0
Worth,Election Day,3871,Attorney General,3858,13
Worth,Provisional,10,Attorney General,10,0
Appling,Absentee by Mail,306,Commissioner Of Agriculture,304,2
Appling,Advance in Person,976,Commissioner Of Agriculture,961,15
Appling,Election Day,3122,Commissioner Of Agriculture,3104,18
Appling,Provisional,4,Commissioner Of Agriculture,4,0
Atkinson,Absentee by Mail,68,Commissioner Of Agriculture,67,1
Atkinson,Advance in Person,495,Commissioner Of Agriculture,485,10
Atkinson,Election Day,1058,Commissioner Of Agriculture,1013,45
Atkinson,Provisional,7,Commissioner Of Agriculture,7,0
Bacon,Absentee by Mail,73,Commissioner Of Agriculture,72,1
Bacon,Advance in Person,887,Commissioner Of Agriculture,876,11
Bacon,Election Day,1240,Commissioner Of Agriculture,1232,8
Bacon,Provisional,3,Commissioner Of Agriculture,3,0
Baker,Absentee by Mail,71,Commissioner Of Agriculture,69,2
Baker,Advance in Person,298,Commissioner Of Agriculture,296,2
Baker,Election Day,617,Commissioner Of Agriculture,616,1
Baker,Provisional,3,Commissioner Of Agriculture,3,0
Baldwin,Absentee by Mail,409,Commissioner Of Agriculture,403,6
Baldwin,Advance in Person,3933,Commissioner Of Agriculture,3863,70
Baldwin,Election Day,6152,Commissioner Of Agriculture,6119,33
Baldwin,Provisional,9,Commissioner Of Agriculture,9,0
Banks,Absentee by Mail,142,Commissioner Of Agriculture,139,3
Banks,Advance in Person,852,Commissioner Of Agriculture,847,5
Banks,Election Day,3339,Commissioner Of Agriculture,3320,19
Banks,Provisional,1,Commissioner Of Agriculture,0,1
Barrow,Absentee by Mail,701,Commissioner Of Agriculture,693,8
Barrow,Advance in Person,4720,Commissioner Of Agriculture,4703,17
Barrow,Election Day,10688,Commissioner Of Agriculture,10591,97
Barrow,Provisional,8,Commissioner Of Agriculture,7,1
Bartow,Absentee by Mail,772,Commissioner Of Agriculture,763,9
Bartow,Advance in Person,5826,Commissioner Of Agriculture,5777,49
Bartow,Election Day,16152,Commissioner Of Agriculture,15985,167
Bartow,Provisional,20,Commissioner Of Agriculture,20,0
Ben Hill,Absentee by Mail,136,Commissioner Of Agriculture,129,7
Ben Hill,Advance in Person,1494,Commissioner Of Agriculture,1477,17
Ben Hill,Election Day,1864,Commissioner Of Agriculture,1842,22
Ben Hill,Provisional,3,Commissioner Of Agriculture,3,0
Berrien,Absentee by Mail,212,Commissioner Of Agriculture,210,2
Berrien,Advance in Person,1103,Commissioner Of Agriculture,1098,5
Berrien,Election Day,2608,Commissioner Of Agriculture,2600,8
Berrien,Provisional,8,Commissioner Of Agriculture,8,0
Bibb,Absentee by Mail,2189,Commissioner Of Agriculture,2142,47
Bibb,Advance in Person,10315,Commissioner Of Agriculture,10167,148
Bibb,Election Day,29989,Commissioner Of Agriculture,29434,555
Bibb,Provisional,78,Commissioner Of Agriculture,76,2
Bleckley,Absentee by Mail,228,Commissioner Of Agriculture,220,8
